date,start_time,end_time,team,notes
2025-04-17,19:00,21:00,alpha,Easter Uprising Revival
2025-04-18,19:00,21:00,alpha,Easter Uprising Revival
2025-04-25,19:00,21:00,omega,DIVA Graduation
2025-04-04,19:00,21:00,alpha,Rise Up Concert
2025-05-16,19:00,21:00,,Anniversary Dinner
2025-05-18,16:00,18:00,,Anniversary - Pritchard
2025-06-16,19:00,21:00,,VBS
2025-06-17,19:00,21:00,,VBS
2025-06-18,19:00,21:00,,VBS
2025-06-19,19:00,21:00,,VBS
2025-06-20,19:00,21:00,,VBS
2025-06-28,15:00,17:00,,Freedom Fest Cookout
2025-07-07,19:00,21:00,,GELA
2025-07-08,19:00,21:00,,GELA
2025-07-09,19:00,21:00,,GELA
2025-07-10,19:00,21:00,,GELA
2025-07-11,19:00,21:00,,GELA
2025-09-05,19:00,21:00,,Women's Conference
2025-09-06,10:00,12:00,,Women's Conference
2025-09-11,19:00,21:00,,Revival
2025-09-12,19:00,21:00,,Revival
2025-11-14,19:00,21:00,,Ladies Comedy Night
2025-11-25,19:00,21:00,,Thanksgiving Midweek Service
